35158/89653/91445/101208/101406/109084/114449/116829/117115/117597/119956/120414/121464/122004/122061/125418/126204/127251/129577/133093/135901/135906,13/3/0/4/0
53131/63383/63384/63389,0/0/0/4/0
59085/73563/84018/99819,0/0/0/3/0
0,0/0/0/0/0
80368/98363/100991/100992,2/0/0/0/0
57784/69191/69447/88477/88478/99833/120569/120811/121484/136914/143414/146345/147531/147895/147897/158067/161104/163147/165303/165309/165310/165314/165582/167032/167421/167881/167882,0/3/0/20/0
0,0/0/0/0/0
50996/50999/51007/53956/62079/63692/64894/64895/64898/65597/68664,5/2/0/0/0
28367/89455,0/1/0/1/0
61565/61566/61567/61570/61570/62404/69165/71217,7/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
53949/71288,0/0/0/2/0
76364/87654/100974/101377/106968/109534/110105/115164/116506/118140/124541,1/4/0/2/0
58232,0/0/0/1/0
28277/31208,1/0/0/0/0
20479,1/0/0/0/0
36053/36057/54051/63935,1/1/0/2/0
0,0/0/0/0/0
49973/81232/81561/81562/81563/81564,0/1/0/5/0
0,0/0/0/0/0
77924,0/0/0/1/0
0,0/0/0/0/0
48724/66579/66580/66758/66773/89842,1/0/0/3/0
62701,0/1/0/0/0
37061/45438,2/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
13156,0/0/0/1/0
0,0/0/0/0/0
57685,1/0/0/0/0
15798/43308,1/0/0/1/0
15172,1/0/0/0/0
0,0/0/0/0/0
36472/59668,0/0/0/2/0
0,0/0/0/0/0
21224,0/0/0/1/0
47414,0/0/0/1/0
44090/44094/83158,1/0/0/2/0
84337/86210/94751/101279/113623/117373/118540/118593,0/0/0/8/0
50209/50210/53124/53766/56893/77103/83672,0/3/0/2/0
60119,0/0/0/1/0
31281/60441/70574/73666/74883/76727/76728/77538,3/1/0/3/0
54732/64848,1/1/0/0/0
90783/91087,2/0/0/0/0
61679/61681/61683/64092/64114/64115/70660/70660/82348/82349,2/5/0/0/0
62939,1/0/0/0/0
68251/87245/93037/105018/115574/117895/118341/121387/123491,3/1/0/4/0
0,0/0/0/0/0
45922,0/0/0/1/0
0,0/0/0/0/0
0,0/0/0/0/0
61497,0/0/0/1/0
0,0/0/0/0/0
82778/83146/86678,0/1/0/0/0
38345/61657/61660/61661,3/0/0/1/0
56915,1/0/0/0/0
26042,0/0/0/0/0
0,0/0/0/0/0
30535/30540,2/0/0/0/0
92285/95343/100789/100790/108599/108599/108794/108826,0/4/0/3/0
0,0/0/0/0/0
46146/56734/57982/62653,3/1/0/0/0
65556,0/0/0/0/0
37693/37970/49632/85318,0/0/0/4/0
50328/60399,0/0/0/2/0
67759/95530/96559/111646/111646/114977/119564/127823/129267/131147/135957/139195/142691/144731/144915,3/1/0/5/0
55585/66953/69964/69977/72217/76926/81038/84812,2/2/0/0/0
45078/91234,0/1/0/1/0
0,0/0/0/0/0
31028/31059/42300/42849/47632,1/0/0/3/0
84652/91453,0/0/0/2/0
39421/57755/71085/71086/72465,1/2/0/0/0
53514/69684,1/0/0/0/0
68650/74341/74341,0/1/0/1/0
51473,0/0/0/1/0
60634/60930/72161/72528/75758/76654/76657/78160,1/4/0/1/0
43737,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
76966,1/0/0/0/0
72286,0/1/0/0/0
30790/69565/78831/82114,1/1/0/1/0
0,0/0/0/0/0
73831,0/0/0/0/0
52496/52497/59611/63666/64751/69462,4/0/0/2/0
0,0/0/0/0/0
27208/75541/80405,0/1/0/1/0
75950/78717/85698/126168/133998,0/0/0/3/0
36536,0/1/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
94138/95431,0/0/0/2/0
37929/37930,2/0/0/0/0
101673/104219/107090,0/0/0/3/0
56096/70775,1/1/0/0/0
56379,1/0/0/0/0
65349/81831,0/0/0/2/0
0,0/0/0/0/0
77404/78335/79753/114343,1/0/0/3/0
29977/62750/77480/79428,0/0/0/4/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
34536/80864/128720/128720/133619/133620/134498/148254/150257/151204,0/4/0/4/0
0,0/0/0/0/0
0,0/0/0/0/0
56566,0/0/0/0/0
55817/101073,0/0/0/2/0
74126/74128/84048/109796/110521/114585/120036/120037/121632/132776/133357/133763,2/1/0/4/0
0,0/0/0/0/0
45346/45348/48899/55049,1/1/0/0/0
61209/93388/101551,0/0/0/3/0
47862,0/1/0/0/0
77352/77568/77569/86325/88172/99209/99211,1/1/0/2/0
0,0/0/0/0/0
73016/77554/82883/83295/92270/101418/101429/103474/103475,0/1/0/5/0
53224/61599,1/1/0/0/0
0,0/0/0/0/0
61321,0/0/0/0/0
0,0/0/0/0/0
84313/90193/90194/91901/91974/92571/95963,1/0/0/4/0
27358/27360,0/0/0/2/0
66342/90212/100940/100940/101923/102343/103447/105583/108406/113635/113726/118171/118248/119511/123131,5/3/0/4/0
26613,0/1/0/0/0
52144,0/0/0/0/0
0,0/0/0/0/0
79797/108457,0/1/0/1/0
57194/74095,0/0/0/2/0
30838,0/0/0/0/0
0,0/0/0/0/0
52947/61903/68224/68693/68700,1/2/0/1/0
64879/66446/66471/74968/74970/80212/89676/90664/91737/92149/92150/92550/94555/97370,5/2/0/4/0
0,0/0/0/0/0
25762/71099,1/0/0/1/0
78661/84838/89418/92038,0/0/0/4/0
68946/87590/112582/112760/118089/119155/120641/120811/121139,1/1/0/6/0
78299/80491,0/0/0/2/0
0,0/0/0/0/0
88091/88567/88617/88620/99349/106751/111389/115287/115694,1/1/0/5/0
40718,0/0/0/1/0
60406/65012/77091/82436/88742/100181/116100/117701/118357/120217,0/2/0/6/0
0,0/0/0/0/0
0,0/0/0/0/0
41106/52520/59662,0/0/0/3/0
46225/46226/78406/80861/80882/81042/87071/90479,0/1/0/6/0
0,0/0/0/0/0
0,0/0/0/0/0
59234/79846/82773,0/0/0/1/0
35979/56506/68693/68779/77382,0/3/0/2/0
79376/89370,0/0/0/2/0
0,0/0/0/0/0
0,0/0/0/0/0
45242/45243/51620/51630/55844/55858,2/2/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
29399/29404/74903/74904/74931,1/0/0/2/0
37873/37881,0/0/0/2/0
0,0/0/0/0/0
0,0/0/0/0/0
52150,0/0/0/1/0
28072,0/0/0/1/0
0,0/0/0/0/0
64045/72053,1/0/0/1/0
90800/101076/113302,0/0/0/1/0
80266/81844/85205,1/2/0/0/0
59152/59158,0/0/0/2/0
0,0/0/0/0/0
53491/84786/95890/103459/129523/133998,0/2/0/4/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
38883/38885/60299,0/1/0/0/0
68901/69510/71463/81689/108830,0/1/0/4/0
55843/80633/104146/119301/121652,0/0/0/4/0
26260/65450/95607,0/1/0/2/0
43690/43730,0/1/0/0/0
0,0/0/0/0/0
79267/79269/80178/81057/81067/84157,0/3/0/2/0
65800/77924/77925/79010,1/0/0/0/0
56345/63811,1/1/0/0/0
68606/84065/90744/92346/93913/122095/136205/137527,1/0/0/5/0
0,0/0/0/0/0
0,0/0/0/0/0
27246/51209/51211,0/0/0/3/0
44858,0/0/0/1/0
18186,0/1/0/0/0
37980,0/1/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
79285/86221/87664/92295,2/0/0/1/0
80224/80438/84889/87934/89456/90934/90936,0/2/0/1/0
35089,0/0/0/1/0
33272/56466,0/0/0/2/0
0,0/0/0/0/0
65253,1/0/0/0/0
82066,0/0/0/0/0
47470/50488/50488,0/0/0/3/0
0,0/0/0/0/0
68689,0/0/0/0/0
64262,0/0/0/1/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
37227/38479/39785,1/1/0/0/0
0,0/0/0/0/0
73382/73793,0/1/0/1/0
89488/89489/93497/99497/103850/113566,0/1/0/3/0
69269/69270/75931,0/2/0/0/0
0,0/0/0/0/0
55881,0/0/0/1/0
73073,0/0/0/1/0
0,0/0/0/0/0
49331/68746/79660/79661/84334,0/0/0/4/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
84781/97046/99826,1/1/0/1/0
0,0/0/0/0/0
34244/52766,1/1/0/0/0
47235,0/0/0/1/0
80319/80878/80894,0/1/0/2/0
52464,0/0/0/0/0
68871,0/0/0/1/0
69200/111051/122399/124664/124665/124889/130476/133003/133004/134354,2/4/0/2/0
31722,1/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
74354/84660,1/0/0/1/0
0,0/0/0/0/0
0,0/0/0/0/0
50503,0/1/0/0/0
64717/67991/70847,0/1/0/1/0
0,0/0/0/0/0
0,0/0/0/0/0
52888/101523,0/0/0/2/0
0,0/0/0/0/0
0,0/0/0/0/0
73386/77358/77575/77741/79358,2/0/0/0/0
0,0/0/0/0/0
52980,0/0/0/0/0
70314/80299,0/0/0/2/0
0,0/0/0/0/0
25493/127081,0/0/0/1/0
0,0/0/0/0/0
19884/30028/30029/30098,0/1/0/1/0
0,0/0/0/0/0
48027/68423/79673/88054/88064/97506/99292/100376/100377/107550/115452/115470/116939/116940/120295/121292/122048/122138/122146/122149/122150/124728/126884,10/4/0/3/0
60288/60352,2/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
89713/103774/103775/103779/110993/114866/117334/118201/121834/123158/123956/124072/124892/136767/140889/145748/146703/148623/150732/150744/150746,7/8/0/3/0
49198,0/1/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
67633/71015/84560/84560/118570/118577/131135/131371/131458,1/1/0/6/0
54652/68467/68475/70815/89857/91949,0/2/0/2/0
55788/76103/76966/80670/100137/102335/105343/105367,2/1/0/1/0
85151,0/1/0/0/0
0,0/0/0/0/0
64720/109381/118977/122375/122376/125034/128316/129966/133331/141209/145666/152750/154641/154642/155402/155423,5/5/0/4/0
39419/56810/58544/60736/62957,5/0/0/0/0
62891/82245/84080/85042/86137,0/1/0/3/0
0,0/0/0/0/0
0,0/0/0/0/0
30888/73646/105125,0/0/0/2/0
68187/89132/91031,1/0/0/1/0
13106/41969/62906/83289/86508/86508/86624/87330/87727/88554/89332,4/2/0/5/0
0,0/0/0/0/0
18986,0/0/0/1/0
30500,0/0/0/1/0
85040/98815/100621/100622/109290/112796/112846/114711/115853,1/2/0/3/0
73925/73928/83941,0/0/0/3/0
74063/76514/107801/108273/129940/133133/135289/137330/137331/138078/138119/139227/139246/140727/142350/145973/146300/146304,3/6/0/5/0
73505/76924/78796/81080/89451/93372/94679/99254/99476,3/1/0/0/0
52808/52811,0/0/0/2/0
45468,0/0/0/0/0
72310/84510/84511/90336/91239/94031/96845/101461/109698/116947/116948/120270/127569/127584/127760/130618/140114/142289/144901/145009,8/3/0/4/0
0,0/0/0/0/0
48597,0/0/0/0/0
55109,0/1/0/0/0
69230,0/0/0/1/0
56950/56976/56986/68929/68930/74732/81106/91570,0/3/0/5/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
57679,0/1/0/0/0
54702/59090/67811/71266/71587,2/0/0/0/0
0,0/0/0/0/0
